25	57	Mn	-57486.251	1.505
26	57	Fe	-60181.839	0.304
27	57	Co	-59345.564	0.533
28	57	Ni	-56083.833	0.582
29	57	Cu	-47308.886	0.519
30	57	Zn	-32550#	200#
31	57	Ga	-15010#	400#
20	58	Ca	-1919#	500#
21	58	Sc	-14876#	400#
22	58	Ti	-31110#	200#
23	58	V	-40401.753	89.374
24	58	Cr	-51991.801	1.49
25	58	Mn	-55827.56	2.701
26	58	Fe	-62155.113	0.343
27	58	Co	-59847.158	1.16
28	58	Ni	-60228.744	0.373
29	58	Cu	-51667.725	0.578
30	58	Zn	-42298.744	50.001
31	58	Ga	-23540#	300#
32	58	Ge	-7080#	500#
21	59	Sc	-10302#	400#
22	59	Ti	-25510#	200#
23	59	V	-37832.015	161.874
24	59	Cr	-48085.76	216.367
25	59	Mn	-55525.32	2.329
26	59	Fe	-60664.805	0.355
27	59	Co	-62229.709	0.418
28	59	Ni	-61156.707	0.374
29	59	Cu	-56358.327	0.544
30	59	Zn	-47215.551	0.771
31	59	Ga	-33760#	170#
32	59	Ge	-15870#	400#
21	60	Sc	-4052#	500#
22	60	Ti	-22330#	300#
23	60	V	-33241.956	220.159
24	60	Cr	-46669.576	193.593
25	60	Mn	-52967.938	2.329
26	60	Fe	-61413.017	3.409
27	60	Co	-61650.309	0.424
28	60	Ni	-64473.118	0.376
29	60	Cu	-58345.137	1.618
30	60	Zn	-54174.34	0.564
31	60	Ga	-39590#	200#
32	60	Ge	-27090#	300#
33	60	As	-5470#	400#
21	61	Sc	931#	600#
22	61	Ti	-16350#	400#
23	61	V	-30506.429	894.234
24	61	Cr	-42475.229	101.341
25	61	Mn	-51742.122	2.329
26	61	Fe	-58920.494	2.608
27	61	Co	-62898.066	0.846
28	61	Ni	-64221.905	0.378
29	61	Cu	-61984.059	0.953
30	61	Zn	-56348.903	15.899
31	61	Ga	-47134.659	37.994
32	61	Ge	-33360#	300#
33	61	As	-16900#	300#
22	62	Ti	-12500#	400#
23	62	V	-25476#	298#
24	62	Cr	-40894.961	148.099
25	62	Mn	-48523.957	6.542
26	62	Fe	-58878.048	2.794
27	62	Co	-61424.282	18.575
28	62	Ni	-66746.323	0.439
29	62	Cu	-62787.426	0.647
30	62	Zn	-61167.972	0.625
31	62	Ga	-51986.906	0.647
32	62	Ge	-41740#	140#
33	62	As	-24320#	300#
22	63	Ti	-5750#	500#
23	63	V	-21890#	400#
24	63	Cr	-36007.474	358.073
25	63	Mn	-46887.053	3.726
26	63	Fe	-55635.621	4.302
27	63	Co	-61851.44	18.575
28	63	Ni	-65512.775	0.44
29	63	Cu	-65579.752	0.44
